IPO Status,Ticker Code,Company Name,Sector,Subsector,Listing Board,Final Price (Rp),Return D1,Return D2,Return D3,Return D4,Return D5,Return D6,Return D7,Return from Listing Date,Line of Business,Address,Website,Number of shares offered,% of Total Shares,Participant Admin,Underwriter(s),Book Building Opening,Book Building Closing,Lowest Book Building Price (Rp),Highest Book Building Price (Rp),Opening of Offering Period,Closing of Offering Period,Closing Date,Distribution Date,Listing Date,Warrant per share ratio,Exercise Price (Warrant) (Rp)
Closed,PTMP,PT Mitra Pack Tbk,Consumer Discretionary,Diversified Industrial Trading,Pengembangan,Rp 120,0.19166666666666668,-0.02097902097902098,-0.02142857142857143,0.014598540145985401,-0.02158273381294964,-0.03676470588235294,-0.015267175572519083,-0.23333333333333334,distributor resmi & penyewaan barang-barang industri pengemasan termasuk suku cadang dan service...,"Jl Pangeran Jayakarta Komplek 135 Blok B-20 Mangga Dua Selatan, Sawah Besar, Jakarta Pusat",https://www.mitrapack.co.id,8.000.000 Lot,25.24%,XA - NH KORINDO SEKURITAS INDONESIA,XA - NH KORINDO SEKURITAS INDONESIA,2023-02-07,2023-02-09,100,120,2023-02-27,2023-03-02,2023-03-02,2023-03-03,06 Mar 2023,0.0,
Closed,BDKR,PT Berdikari Pondasi Perkasa Tbk,Materials,Heavy Constructions & Civil Engineering,Utama,Rp 200,0.15,0.06956521739130435,-0.024390243902439025,-0.041666666666666664,0.12173913043478261,-0.023255813953488372,0.023809523809523808,3.5,"Bergerak dalam bidang pondasi, perbaikan tanah, konstruksi dermaga, alat berat dan penyewaan crane","Jl. Bandengan Utara No. 32B RT 008 RW 011 Pekojan, Tambora – Jakarta Barat",https://www.ptbppid.com,7.061.000 Lot,15%,MG - SEMESTA INDOVEST SEKURITAS,MG - SEMESTA INDOVEST SEKURITAS,2023-02-06,2023-02-10,188,200,2023-02-27,2023-03-01,2023-03-01,2023-03-02,03 Mar 2023,0.5,Rp 500
Closed,HILL,PT Hillcon Tbk,Utilities,Diversified Metals & Minerals,Utama,Rp 1.250,0.064,0.12406015037593984,0.010033444816053512,0.033112582781456956,0.01282051282051282,0.03164556962025317,0.006134969325153374,0.712,"Aktivitas Perusahaan Holding, Aktivitas Konsultasi Manajemen, Jasa Pertambangan dan Jasa Konstruksi","Blok R2, Jl. Taman Modern No. 19 RT.014/RW.006, Ujung Menteng, Kecamatan Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960",https://www.hillcon.co.id/,4.423.000 Lot,15%,YP - MIRAE ASSET SEKURITAS INDONESIA,YP - MIRAE ASSET SEKURITAS INDONESIAAZ - SUCOR SEKURITASRX - MACQUARIE SEKURITAS INDONESIA,2023-01-12,2023-02-03,1250,2000,2023-02-23,2023-02-27,2023-02-27,2023-02-28,01 Mar 2023,0.0,
Closed,FUTR,PT Lini Imaji Kreasi Ekosistem Tbk,Energy,Advertising,Pemantauan Khusus,Rp 100,0.0,0.21,0.34710743801652894,-0.06748466257668712,-0.06578947368421052,0.056338028169014086,-0.06666666666666667,-0.39,"Bergerak dalam bidang periklanan, aktivitas desain khusus film, video, program TV, animasi dan komik","Fatmawati Mas Blok III No. 307-309 Jl. RS Fatmawati No 20 Jakarta Selatan, Indonesia",https://futurphuture.io/,12.780.000 Lot,20%,IU - INDO CAPITAL SEKURITAS,IU - INDO CAPITAL SEKURITASHD - KGI SEKURITAS INDONESIA,2023-02-01,2023-02-07,100,120,2023-02-21,2023-02-23,2023-02-23,2023-02-24,27 Feb 2023,0.8,Rp 135
Closed,PGEO,PT Pertamina Geothermal Energy Tbk,Materials,Electric Utilities,Utama,Rp 875,0.0,-0.05142857142857143,-0.03614457831325301,0.04375,0.041916167664670656,0.005747126436781609,-0.017142857142857144,0.32571428571428573,Menyelenggarakan usaha di bidang panas bumi dari sisi hulu dan/atau sisi hilir serta kegiatan usaha,"Grha Pertamina – Tower Pertamax Lt. 7 Jl. Medan Merdeka Timur No. 11-13 Gambir, Jakarta Pusat 10110, Indonesia",https://www.pge.pertamina.com,103.500.000 Lot,25%,CC - MANDIRI SEKURITAS,CC - MANDIRI SEKURITASCS - CREDIT SUISSE SEKURITAS INDONESIADX - BAHANA SEKURITASGW - HSBC SEKURITAS INDONESIAPF - DANASAKTI SEKURITAS INDONESIAIF - SAMUEL SEKURITAS INDONESIAKZ - CLSA SEKURITAS INDONESIA,2023-02-01,2023-02-09,820,945,2023-02-20,2023-02-22,2023-02-22,2023-02-23,24 Feb 2023,0.0,
Closed,KING,PT Hoffmen Cleanindo Tbk,Consumer Discretionary,Human Resource & Employment Services,Akselerasi,Rp 130,-0.1,-0.09401709401709402,-0.09433962264150944,0.09375,0.09523809523809523,0.09565217391304348,-0.03968253968253968,0.26153846153846155,"Jasa Cleaning Service, Security, Washroom Hygiene, Labour Supply dan Parkir melalui Perusahaan Anak",Jl. Raya Jembatan Tiga No. 8 Penjaringan Jakarta Utara 14440,https://www.hoffmen.co.id,5.200.000 Lot,20%,XA - NH KORINDO SEKURITAS INDONESIA,XA - NH KORINDO SEKURITAS INDONESIA,2023-01-25,2023-01-30,115,130,2023-02-10,2023-02-14,2023-02-14,2023-02-15,16 Feb 2023,0.5,Rp 200
Closed,VAST,PT Vastland Indonesia Tbk,Technology,Real Estate Development & Management,Pengembangan,Rp 108,-0.06481481481481481,-0.04950495049504951,0.25,-0.06666666666666667,-0.03571428571428571,-0.027777777777777776,0.02857142857142857,-0.3333333333333333,Real Estate yang Dimiliki Sendiri atau Disewa,"Jl. Tembesu No. 8A, Kel. Campang Raya, Sukabumi, Bandar Lampung, Lampung 35122",https://www.vastland.co.id,6.500.000 Lot,21.27%,AO - ERDIKHA ELIT SEKURITAS,AO - ERDIKHA ELIT SEKURITAS,2023-01-16,2023-01-20,100,109,2023-02-01,2023-02-06,2023-02-06,2023-02-07,08 Feb 2023,0.2,Rp 338
Closed,CHIP,PT Pelita Teknologi Global Tbk,Telecom,Electronic Equipment & Instruments,Akselerasi,Rp 160,0.1,0.09659090909090909,0.09844559585492228,0.09433962264150944,-0.008620689655172414,0.034782608695652174,0.09243697478991597,7.28125,Bergerak dalam Bidang Aktivitas Konsultasi dan Perancangan Internet of Things & Industri Smart Card,"Jl. Gatot Subroto KM 5, No 66, Kroncong, Jatiuwung, Tangerang, Banten 15134",https://www.pelitateknologi.com,2.000.000 Lot,24.81%,YJ - LOTUS ANDALAN SEKURITAS,YJ - LOTUS ANDALAN SEKURITAS,2023-01-17,2023-01-24,140,180,2023-02-02,2023-02-06,2023-02-06,2023-02-07,08 Feb 2023,0.0,
Closed,HALO,PT Haloni Jane Tbk,Healthcare,Healthcare Equipment,Pengembangan,Rp 100,0.17,0.008547008547008548,0.11016949152542373,-0.06870229007633588,-0.02459016393442623,0.058823529411764705,-0.031746031746031744,-0.25,Bergerak dalam bidang barang dari karet untuk kesehatan,"Jl Raya Serang km. 13,8 Kawasan Industri Tristate, Sukadamai Cikupa Tangerang Indonesia",http://halonijane.co.id/,11.300.000 Lot,20%,II - DANATAMA MAKMUR SEKURITAS,II - DANATAMA MAKMUR SEKURITASCP - KB VALBURY SEKURITAS,2023-01-17,2023-01-24,100,150,2023-02-01,2023-02-06,2023-02-06,2023-02-07,08 Feb 2023,0.5,Rp 150
Closed,PACK,PT Solusi Kemasan Digital Tbk,Consumer Discretionary,Commercial Printing,Akselerasi,Rp 162,-0.09876543209876543,-0.0958904109589041,-0.06060606060606061,-0.0967741935483871,-0.08928571428571429,-0.0784313725490196,0.02127659574468085,-0.7592592592592593,Industri Percetakan Digital Untuk Kemasan Fleksibel,"JL. Jababeka 2 Blok C/11-D Kawasan Industri Jababeka Cikarang Utara Kabupaten Bekasi, Jawa Barat 17530",https://www.flexypack.com,3.080.000 Lot,20.03%,XA - NH KORINDO SEKURITAS INDONESIA,XA - NH KORINDO SEKURITAS INDONESIA,2023-01-12,2023-01-17,110,162,2023-02-02,2023-02-06,2023-02-06,2023-02-07,08 Feb 2023,0.2,Rp 350
